shape_id,shape_pt_sequence,shape_dist_traveled,shape_pt_lon,shape_pt_lat
_6,0,,14.455507,46.044933
_6,1,,14.453737,46.046262
_6,2,,14.453738000000001,46.047736
_6,3,,14.460387,46.04723
_6,4,,14.466157,46.047319
_6,5,,14.471789999999999,46.045407
_6,6,,14.477129,46.044688
_6,7,,14.479894999999999,46.044869
_6,8,,14.481105,46.045339
_6,9,,14.480071,46.047247
_6,10,,14.487921,46.049396
_6,11,,14.492574,46.051564
_6,12,,14.497658000000001,46.049824
_6,13,,14.498603,46.051722999999996
_6,14,,14.501616000000002,46.051092999999995
_6,15,,14.501991,46.052002
_6,16,,14.502981,46.051786
_6,17,,14.501991,46.052002
_6,18,,14.502676,46.053566000000004
_6,19,,14.501625,46.053773
_6,20,,14.501785000000002,46.054294
_6,21,,14.502643,46.05555
_6,22,,14.504585,46.054417
_6,23,,14.508537999999998,46.063631
_6,24,,14.506433999999999,46.063950999999996
_6,25,,14.503907000000002,46.063661
_6,26,,14.502841,46.066145999999996
_6,27,,14.504118,46.073388
_6,28,,14.506523000000001,46.078755
_6,29,,14.507330999999999,46.081841
_6,30,,14.507912,46.088259
_6,31,,14.507584,46.089425
_6,32,,14.507757000000002,46.089997
_6,33,,14.512279000000001,46.08961
_6,34,,14.512356,46.091324
_6,35,,14.513229999999998,46.092545
_6,36,,14.509041,46.094696
_6,37,,14.504439999999999,46.095215
_6,38,,14.469547,46.081607000000005
_6,39,,14.467722,46.084111
_6,40,,14.46518,46.085487
_6,41,,14.464572999999998,46.087044
_6,42,,14.461497,46.086771
_6,43,,14.459404000000001,46.086104999999996
_6,44,,14.459233000000001,46.08642
_6,45,,14.459633,46.087602
_6,46,,14.459333,46.088453
_5,0,,14.463986,46.037105000000004
_5,1,,14.461857,46.036207000000005
_5,2,,14.461666,46.035508
_5,3,,14.469198,46.03811
_5,4,,14.474148,46.040521
_5,5,,14.465887,46.036963
_5,6,,14.470198,46.038545
_5,7,,14.478157999999999,46.042307
_5,8,,14.482171,46.043464
_5,9,,14.482517999999999,46.042829999999995
_5,10,,14.48306,46.042771
_5,11,,14.482517999999999,46.042829999999995
_5,12,,14.482171,46.043464
_5,13,,14.487568999999999,46.04495
_5,14,,14.488111,46.044133
_5,15,,14.487765999999999,46.044014
_5,16,,14.487009,46.044549
_5,17,,14.487315,46.044651
_5,18,,14.487765999999999,46.044014
_5,19,,14.485740000000002,46.043326
_5,20,,14.485171,46.04427
_5,21,,14.494772000000001,46.047284000000005
_5,22,,14.495516,46.047393
_5,23,,14.50103,46.046292
_5,24,,14.497435999999999,46.046996
_5,25,,14.497774000000001,46.047732
_5,26,,14.498614,46.0478
_5,27,,14.501296,46.049211
_5,28,,14.502081,46.049009999999996
_5,29,,14.502934,46.050781
_5,30,,14.501616000000002,46.051092999999995
_5,31,,14.502676,46.053566000000004
_5,32,,14.503718000000001,46.053353
_5,33,,14.501625,46.053773
_5,34,,14.501785000000002,46.054294
_5,35,,14.502643,46.05555
_5,36,,14.504585,46.054417
_5,37,,14.507282,46.060358
_5,38,,14.510034999999998,46.067999
_5,39,,14.513921,46.084849000000006
_5,40,,14.513909000000002,46.091257
_5,41,,14.516555,46.095424
_5,42,,14.517079,46.09719
_5,43,,14.516504000000001,46.099007
_5,44,,14.517299,46.099755
_5,45,,14.52009,46.100968
_5,46,,14.522675000000001,46.100829
_5,47,,14.528107,46.10185
_5,48,,14.535841999999999,46.104236
_5,49,,14.567523,46.062097
_5,50,,14.57055,46.06216
_4,0,,14.459333,46.088453
_4,1,,14.459633,46.087602
_4,2,,14.459233000000001,46.08642
_4,3,,14.459404000000001,46.086104999999996
_4,4,,14.461497,46.086771
_4,5,,14.464572999999998,46.087044
_4,6,,14.46518,46.085487
_4,7,,14.468034,46.083781
_4,8,,14.471694,46.078625
_4,9,,14.475548,46.074592
_4,10,,14.478238999999999,46.071109
_4,11,,14.488005999999999,46.066591
_4,12,,14.489304999999998,46.066412
_4,13,,14.491743,46.067391
_4,14,,14.493924000000002,46.06517
_4,15,,14.494784000000001,46.063413000000004
_4,16,,14.496569,46.061004000000004
_4,17,,14.501848,46.056069
_4,18,,14.504585,46.054417
_4,19,,14.508509,46.063549
_4,20,,14.510467,46.063382000000004
_4,21,,14.512709000000001,46.063812999999996
_4,22,,14.514561,46.065982000000005
_4,23,,14.516563999999999,46.064638
_4,24,,14.526214999999999,46.066635000000005
