stop_id,stop_name,stop_lat,stop_lon
1126,Brodarjev trg,46.0542302,14.5534442
1127,Preglov trg,46.05461529999999,14.5588679
1128,Rusjanov trg ,46.0546172,14.5628498
1129,Fuzine P+R,46.0525771,14.5658733
1130,Dolgi most P+R,46.0370762,14.4640133
1131,Bonifacija,46.0404553,14.4737332
1132,Vic,46.04204860000001,14.4774061
1133,Glince,46.0432358,14.4821915
1134,Stan in dom,46.0445455,14.4870131
1135,Hajdrihova,46.0459118,14.4902892
1136,Tobacna,46.0469033,14.4944646
1137,Askerceva,46.0465914,14.4993631
1138,Drama,46.0490623,14.5019478
1139,Konzorcij,46.05099790000001,14.5029186
1140,Ajdovscina,46.053539,14.5039869
1141,Bavarski dvor,46.056648,14.5056028
1142,Razstavisce,46.06109170000001,14.5075506
1143,Astra,46.0649286,14.5089807
1144,Stadion,46.069446,14.5103342
1145,Mercator,46.073607,14.5112611
1146,AMZS,46.0777636,14.5121766
1147,Smelt,46.0822753,14.5131684
1148,Stozice,46.0862378,14.513955
1149,Ruski car,46.0906394,14.5139311
1150,Jezica,46.0975186,14.5170689
1151,Sava,46.1008589,14.5217947
1152,Kolodvor Crnuce,46.1014714,14.5262262
1153,Rogovilc,46.1027401,14.5314225
1154,Crnuce,46.10426520000001,14.5358247
1155,NS Rudnik,46.0180225,14.5348096
1156,Bobrova,46.0240114,14.5321792
1157,Jurckova,46.0264949,14.5276211
1158,Mihov stadron,46.0291213,14.5219197
1159,Galjevica,46.0333037,14.5129136
1160,Izanska,46.0349501,14.5128939
1161,Stelisce,46.0392796,14.5170549
1162,Privoz,46.0439427,14.5113451
1163,Gornji trg,46.0458103,14.5063623
1164,Krizanke,46.0461122,14.5022038
1165,Drama,46.0490623,14.5019478
1166,Posta,46.0522258,14.5034508
1167,Bavarski dvor,46.056648,14.5056028
1168,Kolodvor,46.0577365,14.5113548
1169,Friskovec,46.0573631,14.5183045
1170,Viadukt,46.0594849,14.5207506
1171,Srediska,46.0625326,14.5248519
1172,Flajsmanova,46.064753,14.529458
1173,Sola Jarse,46.0666295,14.5332344
1174,Jarse,46.068343,14.5367404
1175,BTC - Uprava,46.0682104,14.5419301
1176,Trznica,46.0655274,14.5440297
1177,BTC - Kolosej,46.0652786,14.5487694
1178,BTC - Emporium,46.0620992,14.5448969
1179,Yulon,46.0619209,14.5527128
1180,Leskovskova,46.0619867,14.5582152
1181,GZL,46.0620474,14.563412
1182,Rog,46.0620972,14.5675232
1183,Letaliska,46.0621319,14.5705526
1184,Fuzine P+R,46.0525771,14.5658733
1185,Rusjanov trg,46.0546172,14.5628498
1186,Preglov trg,46.05461529999999,14.5588679
1187,Brodarjev trg,46.0542302,14.5534442
1188,Pot na Fuzine,46.0560779,14.5511269
1189,Zaloska,46.0560319,14.5395024
1190,Trznica Moste,46.0557149,14.5344967
1191,Bolnica,46.054376,14.5289185
1192,Klinicni center,46.0523129,14.52056
1193,Ambrozev trg,46.0496477,14.5169309
1194,Poljanska,46.0501041,14.5156874
1195,Zmajski most,46.0515139,14.5105536
1196,Tavcarjeva,46.0546255,14.5062913
1197,Bavarski dvor,46.056648,14.5056028
1198,Razstavisce,46.06109170000001,14.5075506
1199,Bezigrad,46.06364929999999,14.5117877
1200,Krziceva,46.0654137,14.5141152
1201,Gasilska Brigada,46.068625,14.5169488
1202,Puhova,46.0764608,14.5195442
1203,Nove Stozice,46.0814279,14.5199335
1204,Letaliska,46.0621319,14.5705526
1205,Rog,46.0620972,14.5675232
1206,GZL,46.0620474,14.563412
1207,Leskovskova,46.0619867,14.5582152
1208,Yulon,46.0619209,14.5527128
1209,BTC - Emporium,46.0620992,14.5448969
1210,BTC - Kolosej,46.0652786,14.5487694
1211,Trznica,46.0655274,14.5440297
